Row ID,Order ID,order_date,ship_date,customer_name,Customer ID,segment,category,sub_category,product_name,country,city,state,region,ship_mode,sales
18,CA-2015-167164,2015-05-13,2015-05-15,Alejandro Grove,AG-10270,Consumer,Office Supplies,Storage,Fellowes Super Stor/Drawer,United States,West Jordan,Utah,West,Second Class,55.5
19,CA-2015-143336,2015-08-27,2015-09-01,Zuschuss Donatelli,ZD-21925,Consumer,Office Supplies,Art,Newell 341,United States,San Francisco,California,West,Second Class,8.56
20,CA-2015-143336,2015-08-27,2015-09-01,Zuschuss Donatelli,ZD-21925,Consumer,Technology,Phones,Cisco SPA 501G IP Phone,United States,San Francisco,California,West,Second Class,213.48
21,CA-2015-143336,2015-08-27,2015-09-01,Zuschuss Donatelli,ZD-21925,Consumer,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",United States,San Francisco,California,West,Second Class,22.72
22,CA-2017-137330,2017-12-09,2017-12-13,Ken Black,KB-16585,Corporate,Office Supplies,Art,Newell 318,United States,Fremont,Nebraska,Central,Standard Class,19.46
23,CA-2017-137330,2017-12-09,2017-12-13,Ken Black,KB-16585,Corporate,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",United States,Fremont,Nebraska,Central,Standard Class,60.34
24,US-2018-156909,2018-07-16,2018-07-18,Sandra Flanagan,SF-20065,Consumer,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",United States,Philadelphia,Pennsylvania,East,Second Class,71.372
25,CA-2016-106320,2016-09-25,2016-09-30,Emily Burns,EB-13870,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,United States,Orem,Utah,West,Standard Class,1044.63
26,CA-2017-121755,2017-01-16,2017-01-20,Eric Hoffmann,EH-13945,Consumer,Office Supplies,Binders,Wilson Jones Active Use Binders,United States,Los Angeles,California,West,Second Class,11.648
27,CA-2017-121755,2017-01-16,2017-01-20,Eric Hoffmann,EH-13945,Consumer,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,United States,Los Angeles,California,West,Second Class,90.57
28,US-2016-150630,2016-09-17,2016-09-21,Tracy Blumstein,TB-21520,Consumer,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",United States,Philadelphia,Pennsylvania,East,Standard Class,3083.43
29,US-2016-150630,2016-09-17,2016-09-21,Tracy Blumstein,TB-21520,Consumer,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,United States,Philadelphia,Pennsylvania,East,Standard Class,9.618
30,US-2016-150630,2016-09-17,2016-09-21,Tracy Blumstein,TB-21520,Consumer,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",United States,Philadelphia,Pennsylvania,East,Standard Class,124.2
31,US-2016-150630,2016-09-17,2016-09-21,Tracy Blumstein,TB-21520,Consumer,Office Supplies,Envelopes,Poly String Tie Envelopes,United States,Philadelphia,Pennsylvania,East,Standard Class,3.264
32,US-2016-150630,2016-09-17,2016-09-21,Tracy Blumstein,TB-21520,Consumer,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",United States,Philadelphia,Pennsylvania,East,Standard Class,86.304
33,US-2016-150630,2016-09-17,2016-09-21,Tracy Blumstein,TB-21520,Consumer,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",United States,Philadelphia,Pennsylvania,East,Standard Class,6.858
34,US-2016-150630,2016-09-17,2016-09-21,Tracy Blumstein,TB-21520,Consumer,Office Supplies,Art,Lumber Crayons,United States,Philadelphia,Pennsylvania,East,Standard Class,15.76
35,CA-2018-107727,2018-10-19,2018-10-23,Matt Abelman,MA-17560,Home Office,Office Supplies,Paper,Easy-staple paper,United States,Houston,Texas,Central,Second Class,29.472
36,CA-2017-117590,2017-12-08,2017-12-10,Gene Hale,GH-14485,Corporate,Technology,Phones,GE 30524EE4,United States,Richardson,Texas,Central,First Class,1097.544
37,CA-2017-117590,2017-12-08,2017-12-10,Gene Hale,GH-14485,Corporate,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",United States,Richardson,Texas,Central,First Class,190.92
38,CA-2016-117415,2016-12-27,2016-12-31,Steve Nguyen,SN-20710,Home Office,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",United States,Houston,Texas,Central,Standard Class,113.328
39,CA-2016-117415,2016-12-27,2016-12-31,Steve Nguyen,SN-20710,Home Office,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",United States,Houston,Texas,Central,Standard Class,532.3992
40,CA-2016-117415,2016-12-27,2016-12-31,Steve Nguyen,SN-20710,Home Office,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",United States,Houston,Texas,Central,Standard Class,212.058
41,CA-2016-117415,2016-12-27,2016-12-31,Steve Nguyen,SN-20710,Home Office,Technology,Phones,Plantronics HL10 Handset Lifter,United States,Houston,Texas,Central,Standard Class,371.168
42,CA-2018-120999,2018-09-10,2018-09-15,Linda Cazamias,LC-16930,Corporate,Technology,Phones,Panasonic Kx-TS550,United States,Naperville,Illinois,Central,Standard Class,147.168
43,CA-2017-101343,2017-07-17,2017-07-22,Ruben Ausman,RA-19885,Corporate,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",United States,Los Angeles,California,West,Standard Class,77.88
44,CA-2018-139619,2018-09-19,2018-09-23,Erin Smith,ES-14080,Corporate,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",United States,Melbourne,Florida,South,Standard Class,95.616
45,CA-2017-118255,2017-03-11,2017-03-13,Odella Nelson,ON-18715,Corporate,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",United States,Eagan,Minnesota,Central,First Class,45.98
46,CA-2017-118255,2017-03-11,2017-03-13,Odella Nelson,ON-18715,Corporate,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,United States,Eagan,Minnesota,Central,First Class,17.46
47,CA-2015-146703,2015-10-20,2015-10-25,Patrick O'Donnell,PO-18865,Consumer,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",United States,Westland,Michigan,Central,Second Class,211.96
48,CA-2017-169194,2017-06-20,2017-06-25,Lena Hernandez,LH-16900,Consumer,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,United States,Dover,Delaware,East,Standard Class,45.0
49,CA-2017-169194,2017-06-20,2017-06-25,Lena Hernandez,LH-16900,Consumer,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",United States,Dover,Delaware,East,Standard Class,21.8
50,CA-2016-115742,2016-04-18,2016-04-22,Darren Powers,DP-13000,Consumer,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",United States,New Albany,Indiana,Central,Standard Class,38.22
51,CA-2016-115742,2016-04-18,2016-04-22,Darren Powers,DP-13000,Consumer,Office Supplies,Labels,Avery 485,United States,New Albany,Indiana,Central,Standard Class,75.18
52,CA-2016-115742,2016-04-18,2016-04-22,Darren Powers,DP-13000,Consumer,Furniture,Furnishings,Longer-Life Soft White Bulbs,United States,New Albany,Indiana,Central,Standard Class,6.16
53,CA-2016-115742,2016-04-18,2016-04-22,Darren Powers,DP-13000,Consumer,Furniture,Chairs,"Global Leather Task Chair, Black",United States,New Albany,Indiana,Central,Standard Class,89.99
54,CA-2017-105816,2017-12-11,2017-12-17,Janet Molinari,JM-15265,Corporate,Office Supplies,Fasteners,Advantus Push Pins,United States,New York City,New York,East,Standard Class,15.26
55,CA-2017-105816,2017-12-11,2017-12-17,Janet Molinari,JM-15265,Corporate,Technology,Phones,AT&T CL83451 4-Handset Telephone,United States,New York City,New York,East,Standard Class,1029.95
56,CA-2017-111682,2017-06-17,2017-06-18,Ted Butterfield,TB-21055,Consumer,Office Supplies,Storage,Home/Office Personal File Carts,United States,Troy,New York,East,First Class,208.56
57,CA-2017-111682,2017-06-17,2017-06-18,Ted Butterfield,TB-21055,Consumer,Office Supplies,Paper,Xerox 232,United States,Troy,New York,East,First Class,32.4
58,CA-2017-111682,2017-06-17,2017-06-18,Ted Butterfield,TB-21055,Consumer,Furniture,Chairs,Novimex Turbo Task Chair,United States,Troy,New York,East,First Class,319.41
59,CA-2017-111682,2017-06-17,2017-06-18,Ted Butterfield,TB-21055,Consumer,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",United States,Troy,New York,East,First Class,14.56
60,CA-2017-111682,2017-06-17,2017-06-18,Ted Butterfield,TB-21055,Consumer,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,United States,Troy,New York,East,First Class,30.0
61,CA-2017-111682,2017-06-17,2017-06-18,Ted Butterfield,TB-21055,Consumer,Office Supplies,Binders,Plastic Binding Combs,United States,Troy,New York,East,First Class,48.48
62,CA-2017-111682,2017-06-17,2017-06-18,Ted Butterfield,TB-21055,Consumer,Office Supplies,Art,Prang Dustless Chalk Sticks,United States,Troy,New York,East,First Class,1.68
63,CA-2016-135545,2016-11-24,2016-11-30,Kunst Miller,KM-16720,Consumer,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",United States,Los Angeles,California,West,Standard Class,13.98
64,CA-2016-135545,2016-11-24,2016-11-30,Kunst Miller,KM-16720,Consumer,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",United States,Los Angeles,California,West,Standard Class,25.824
65,CA-2016-135545,2016-11-24,2016-11-30,Kunst Miller,KM-16720,Consumer,Office Supplies,Paper,Xerox 1943,United States,Los Angeles,California,West,Standard Class,146.73
66,CA-2016-135545,2016-11-24,2016-11-30,Kunst Miller,KM-16720,Consumer,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,United States,Los Angeles,California,West,Standard Class,79.76
67,US-2016-164175,2016-04-30,2016-05-05,Paul Stevenson,PS-18970,Home Office,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",United States,Chicago,Illinois,Central,Standard Class,213.115
68,CA-2015-106376,2015-12-05,2015-12-10,Brendan Sweed,BS-11590,Corporate,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",United States,Gilbert,Arizona,West,Standard Class,1113.024
69,CA-2015-106376,2015-12-05,2015-12-10,Brendan Sweed,BS-11590,Corporate,Technology,Phones,netTALK DUO VoIP Telephone Service,United States,Gilbert,Arizona,West,Standard Class,167.968
70,CA-2017-119823,2017-06-04,2017-06-06,Karen Daniels,KD-16270,Consumer,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",United States,Springfield,Virginia,South,First Class,75.88
71,CA-2017-106075,2017-09-18,2017-09-23,Henry MacAllister,HM-14980,Consumer,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,United States,New York City,New York,East,Standard Class,4.616
72,CA-2018-114440,2018-09-14,2018-09-17,Tracy Blumstein,TB-21520,Consumer,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",United States,Jackson,Michigan,Central,Second Class,19.05
73,US-2016-134026,2016-04-26,2016-05-02,Joel Eaton,JE-15745,Consumer,Furniture,Chairs,High-Back Leather Manager's Chair,United States,Memphis,Tennessee,South,Standard Class,831.936
74,US-2016-134026,2016-04-26,2016-05-02,Joel Eaton,JE-15745,Consumer,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",United States,Memphis,Tennessee,South,Standard Class,97.04
75,US-2016-134026,2016-04-26,2016-05-02,Joel Eaton,JE-15745,Consumer,Office Supplies,Storage,Safco Industrial Wire Shelving System,United States,Memphis,Tennessee,South,Standard Class,72.784
76,US-2018-118038,2018-12-09,2018-12-11,Ken Brennan,KB-16600,Corporate,Office Supplies,Binders,Economy Binders,United States,Houston,Texas,Central,First Class,1.248
77,US-2018-118038,2018-12-09,2018-12-11,Ken Brennan,KB-16600,Corporate,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",United States,Houston,Texas,Central,First Class,9.708
78,US-2018-118038,2018-12-09,2018-12-11,Ken Brennan,KB-16600,Corporate,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",United States,Houston,Texas,Central,First Class,27.24
79,US-2015-147606,2015-11-26,2015-12-01,Joel Eaton,JE-15745,Consumer,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",United States,Houston,Texas,Central,Second Class,19.3
80,CA-2017-127208,2017-06-12,2017-06-15,Stewart Carmichael,SC-20770,Corporate,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",United States,Decatur,Alabama,South,First Class,208.16
81,CA-2017-127208,2017-06-12,2017-06-15,Stewart Carmichael,SC-20770,Corporate,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,United States,Decatur,Alabama,South,First Class,16.74
82,CA-2015-139451,2015-10-12,2015-10-16,Duane Noonan,DN-13690,Consumer,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",United States,San Francisco,California,West,Standard Class,14.9
83,CA-2015-139451,2015-10-12,2015-10-16,Duane Noonan,DN-13690,Consumer,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",United States,San Francisco,California,West,Standard Class,21.39
84,CA-2016-149734,2016-09-03,2016-09-08,Julie Creighton,JC-16105,Corporate,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,United States,Durham,North Carolina,South,Standard Class,200.984
85,US-2018-119662,2018-11-13,2018-11-16,Christopher Schild,CS-12400,Home Office,Office Supplies,Storage,Safco Industrial Wire Shelving,United States,Chicago,Illinois,Central,First Class,230.376
86,CA-2018-140088,2018-05-28,2018-05-30,Patrick O'Donnell,PO-18865,Consumer,Furniture,Chairs,Novimex Swivel Fabric Task Chair,United States,Columbia,South Carolina,South,Second Class,301.96
87,CA-2018-155558,2018-10-26,2018-11-02,Paul Gonzalez,PG-18895,Consumer,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,United States,Rochester,Minnesota,Central,Standard Class,19.99
88,CA-2018-155558,2018-10-26,2018-11-02,Paul Gonzalez,PG-18895,Consumer,Office Supplies,Labels,Avery 511,United States,Rochester,Minnesota,Central,Standard Class,6.16
89,CA-2017-159695,2017-04-05,2017-04-10,Gary Mitchum,GM-14455,Home Office,Office Supplies,Storage,Eldon Portable Mobile Manager,United States,Houston,Texas,Central,Second Class,158.368
90,CA-2017-109806,2017-09-17,2017-09-22,Jim Sink,JS-15685,Corporate,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,United States,Los Angeles,California,West,Standard Class,20.1
91,CA-2017-109806,2017-09-17,2017-09-22,Jim Sink,JS-15685,Corporate,Technology,Phones,Panasonic Kx-TS550,United States,Los Angeles,California,West,Standard Class,73.584
92,CA-2017-109806,2017-09-17,2017-09-22,Jim Sink,JS-15685,Corporate,Office Supplies,Paper,Xerox 1995,United States,Los Angeles,California,West,Standard Class,6.48
93,CA-2016-149587,2016-01-31,2016-02-05,Karl Braun,KB-16315,Consumer,Office Supplies,Paper,Xerox 1999,United States,Minneapolis,Minnesota,Central,Second Class,12.96
94,CA-2016-149587,2016-01-31,2016-02-05,Karl Braun,KB-16315,Consumer,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",United States,Minneapolis,Minnesota,Central,Second Class,53.34
95,CA-2016-149587,2016-01-31,2016-02-05,Karl Braun,KB-16315,Consumer,Office Supplies,Binders,Ibico Standard Transparent Covers,United States,Minneapolis,Minnesota,Central,Second Class,32.96
96,US-2018-109484,2018-11-06,2018-11-12,Roger Barcio,RB-19705,Home Office,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,United States,Portland,Oregon,West,Standard Class,5.682
97,CA-2018-161018,2018-11-09,2018-11-11,Parhena Norris,PN-18775,Home Office,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,United States,New York City,New York,East,Second Class,96.53
98,CA-2018-157833,2018-06-17,2018-06-20,Katherine Ducich,KD-16345,Consumer,Office Supplies,Binders,Trimflex Flexible Post Binders,United States,San Francisco,California,West,First Class,51.312
99,CA-2017-149223,2017-09-06,2017-09-11,Elpida Rittenbach,ER-13855,Corporate,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,United States,Saint Paul,Minnesota,Central,Standard Class,77.88
100,CA-2017-158568,2017-08-29,2017-09-02,Rick Bensley,RB-19465,Home Office,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,United States,Chicago,Illinois,Central,Standard Class,64.624
101,CA-2017-158568,2017-08-29,2017-09-02,Rick Bensley,RB-19465,Home Office,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,United States,Chicago,Illinois,Central,Standard Class,95.976
102,CA-2017-158568,2017-08-29,2017-09-02,Rick Bensley,RB-19465,Home Office,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,United States,Chicago,Illinois,Central,Standard Class,1.788
103,CA-2017-129903,2017-12-01,2017-12-04,Gary Zandusky,GZ-14470,Consumer,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),United States,Rochester,Minnesota,Central,Second Class,23.92
104,US-2016-156867,2016-11-13,2016-11-17,Lena Cacioppo,LC-16870,Consumer,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,United States,Aurora,Colorado,West,Standard Class,238.896
105,US-2016-156867,2016-11-13,2016-11-17,Lena Cacioppo,LC-16870,Consumer,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",United States,Aurora,Colorado,West,Standard Class,102.36
106,US-2016-156867,2016-11-13,2016-11-17,Lena Cacioppo,LC-16870,Consumer,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",United States,Aurora,Colorado,West,Standard Class,36.882
107,CA-2018-119004,2018-11-23,2018-11-28,Janet Martin,JM-15250,Consumer,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,United States,Charlotte,North Carolina,South,Standard Class,74.112
108,CA-2018-119004,2018-11-23,2018-11-28,Janet Martin,JM-15250,Consumer,Technology,Phones,Speck Products Candyshell Flip Case,United States,Charlotte,North Carolina,South,Standard Class,27.992
109,CA-2018-119004,2018-11-23,2018-11-28,Janet Martin,JM-15250,Consumer,Office Supplies,Art,Newell Chalk Holder,United States,Charlotte,North Carolina,South,Standard Class,3.304
110,CA-2016-129476,2016-10-15,2016-10-20,Pete Armstrong,PA-19060,Home Office,Technology,Accessories,Logitech Gaming G510s - Keyboard,United States,Orland Park,Illinois,Central,Standard Class,339.96
111,CA-2018-146780,2018-12-25,2018-12-30,Cynthia Voltz,CV-12805,Corporate,Furniture,Furnishings,Magnifier Swing Arm Lamp,United States,New York City,New York,East,Standard Class,41.96
112,CA-2017-128867,2017-11-03,2017-11-10,Clay Ludtke,CL-12565,Consumer,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",United States,Urbandale,Iowa,Central,Standard Class,75.96
113,CA-2017-128867,2017-11-03,2017-11-10,Clay Ludtke,CL-12565,Consumer,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",United States,Urbandale,Iowa,Central,Standard Class,27.24
114,CA-2015-115259,2015-08-25,2015-08-27,Ryan Crowe,RC-19960,Consumer,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",United States,Columbus,Ohio,East,Second Class,40.096
115,CA-2015-115259,2015-08-25,2015-08-27,Ryan Crowe,RC-19960,Consumer,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",United States,Columbus,Ohio,East,Second Class,4.72
116,CA-2015-115259,2015-08-25,2015-08-27,Ryan Crowe,RC-19960,Consumer,Office Supplies,Paper,Xerox 1921,United States,Columbus,Ohio,East,Second Class,23.976
117,CA-2015-115259,2015-08-25,2015-08-27,Ryan Crowe,RC-19960,Consumer,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",United States,Columbus,Ohio,East,Second Class,130.464
118,CA-2016-110457,2016-03-02,2016-03-06,Dave Kipp,DK-13090,Consumer,Furniture,Tables,Hon Racetrack Conference Tables,United States,Seattle,Washington,West,Standard Class,787.53
119,US-2016-136476,2016-04-05,2016-04-10,Greg Guthrie,GG-14650,Corporate,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,United States,Bristol,Tennessee,South,Standard Class,157.794
120,CA-2017-103730,2017-06-12,2017-06-15,Steven Cartwright,SC-20725,Consumer,Furniture,Furnishings,Artistic Insta-Plaque,United States,Wilmington,Delaware,East,First Class,47.04
121,CA-2017-103730,2017-06-12,2017-06-15,Steven Cartwright,SC-20725,Consumer,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,United States,Wilmington,Delaware,East,First Class,30.84
122,CA-2017-103730,2017-06-12,2017-06-15,Steven Cartwright,SC-20725,Consumer,Office Supplies,Storage,"Companion Letter/Legal File, Black",United States,Wilmington,Delaware,East,First Class,226.56
123,CA-2017-103730,2017-06-12,2017-06-15,Steven Cartwright,SC-20725,Consumer,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,United States,Wilmington,Delaware,East,First Class,115.02
124,CA-2017-103730,2017-06-12,2017-06-15,Steven Cartwright,SC-20725,Consumer,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,United States,Wilmington,Delaware,East,First Class,68.04
125,US-2015-152030,2015-12-26,2015-12-28,Alan Dominguez,AD-10180,Home Office,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,United States,Houston,Texas,Central,Second Class,600.558
126,US-2015-134614,2015-09-20,2015-09-25,Philip Fox,PF-19165,Consumer,Furniture,Tables,Bevis 44 x 96 Conference Tables,United States,Bloomington,Illinois,Central,Standard Class,617.7
127,US-2018-107272,2018-11-05,2018-11-12,Troy Staebel,TS-21610,Consumer,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",United States,Phoenix,Arizona,West,Standard Class,2.388
128,US-2018-107272,2018-11-05,2018-11-12,Troy Staebel,TS-21610,Consumer,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",United States,Phoenix,Arizona,West,Standard Class,243.992
129,US-2017-125969,2017-11-06,2017-11-10,Lindsay Shagiari,LS-16975,Home Office,Furniture,Chairs,"Global Task Chair, Black",United States,Los Angeles,California,West,Second Class,81.424
130,US-2017-125969,2017-11-06,2017-11-10,Lindsay Shagiari,LS-16975,Home Office,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,United States,Los Angeles,California,West,Second Class,238.56
131,US-2018-164147,2018-02-02,2018-02-05,Dorothy Wardle,DW-13585,Corporate,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,United States,Columbus,Ohio,East,First Class,59.97
132,US-2018-164147,2018-02-02,2018-02-05,Dorothy Wardle,DW-13585,Corporate,Office Supplies,Paper,Xerox 1916,United States,Columbus,Ohio,East,First Class,78.304
133,US-2018-164147,2018-02-02,2018-02-05,Dorothy Wardle,DW-13585,Corporate,Office Supplies,Fasteners,Staples,United States,Columbus,Ohio,East,First Class,21.456
134,CA-2017-145583,2017-10-13,2017-10-19,Lena Creighton,LC-16885,Consumer,Office Supplies,Paper,Xerox 195,United States,Roseville,California,West,Standard Class,20.04
135,CA-2017-145583,2017-10-13,2017-10-19,Lena Creighton,LC-16885,Consumer,Office Supplies,Paper,Xerox 1880,United States,Roseville,California,West,Standard Class,35.44
